Tên chung cư,Đường/Phố,Xã/Phường/Thị Trấn,Quận/Huyện,Diện tích,Mức giá,Số phòng ngủ,Số toilet
Chung cư Phúc Yên, Phan Huy Ích,15, Tân Bình,103.00,9,2.00,2
 City Garden, Ngô Tất Tố,21, Bình Thạnh,93.00,2.75,2.00,2
 PiCity High Park, Thạnh Xuân 13,Thạnh Xuân, Quận 12,75.00,4.35,2.00,1
 Vista Verde, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,101.00,6.1,2.00,2
 Feliz En Vista, Đồng Văn Cống,Thạnh Mỹ Lợi, Quận 2,99.00,6,2.00,2
 The Estella, Xa Lộ Hà Nội,"An Phú, Quận 2",,114.00,3.08,3.00,2
 Hoàng Anh Thanh Bình, D4,Tân Hưng, Quận 7,123.00,7.5,3.00,2
 Vista Verde, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,114.00,3.08,3.00,3
 Hoàng Anh Thanh Bình, D4,Tân Hưng, Quận 7,123.00,7.5,3.00,2
 Vista Verde, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,200.00,14,4.00,3
 Vista Verde, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,161.00,2.45,3.00,4
 The Era Town,,"Phú Mỹ, Quận 7",,50.00,2.15,1.00,4
 Safira Khang Điền, Võ Chí Công,Phú Hữu, Quận 9,171.00,12.5,4.00,1
 The Estella, Xa Lộ Hà Nội,An Phú, Quận 2,161.00,14,3.00,4
 Vista Verde, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,84.00,4,2.00,3
 Celadon City, N1,Sơn Kỳ, Tân Phú,69.00,5.2,2.00,2
 Orchard Garden, Hồng Hà,9, Phú Nhuận,50.00,2.6,2.00,2
 Căn hộ Precia Quận 2, Nguyễn Thị Định,An Phú, Quận 2,96.00,5.5,1.00,2
 Masteri Centre Point, Nguyễn Xiển,Long Thạnh Mỹ, Quận 9,71.00,2.15,2.00,1
 Sunshine Sky City ,,, Quận 7,53.00,2.45,2.00,2
 RichStar, Hòa Bình,Hiệp Tân, Tân Phú,102.00,7.3,3.00,1
 Newton Residence, Trương Quốc Dung,8, Phú Nhuận,49.00,3,1.00,3
 Căn hộ Precia Quận 2, Nguyễn Thị Định,An Phú, Quận 2,59.00,2.55,2.00,1
 The Origami, Nguyễn Xiển,Long Thạnh Mỹ, Quận 9,50.00,1.2,2.00,2
 Tân Mai, Quốc lộ 1A,Tân Tạo, Bình Tân,68.00,1.65,2.00,1
 Tân Mai, Quốc lộ 1A,Tân Tạo, Bình Tân,50.00,1.29,1.00,
 Tân Mai, Quốc lộ 1A,Tân Tạo, Bình Tân,72.00,3.6,2.00,
 Eco Green Sài Gòn, Nguyễn Văn Linh,Tân Thuận Tây, Quận 7,50.00,1.29,1.00,2
 Tân Mai, Quốc lộ 1A,Tân Tạo, Bình Tân,72.00,3.6,2.00,
 Eco Green Sài Gòn, Nguyễn Văn Linh,Tân Thuận Tây, Quận 7,77.00,5.25,2.00,2
 ST Moritz Phạm Văn Đồng, Phạm Văn Đồng,Hiệp Bình Chánh, Thủ Đức,70.00,4,2.00,2
 Eco Green Sài Gòn, Nguyễn Văn Linh,Tân Thuận Tây, Quận 7,72.00,3.816,2.00,2
 Eco Green Sài Gòn, Nguyễn Văn Linh,Tân Thuận Tây, Quận 7,58.00,4.2,1.00,2
 Feliz En Vista, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,70.00,4.029,2.00,1
 Eco Green Sài Gòn, Nguyễn Văn Linh,Tân Thuận Tây, Quận 7,60.00,3.24,2.00,2
 Eco Green Sài Gòn, Nguyễn Văn Linh,Tân Thuận Tây, Quận 7,79.00,3.2,2.00,2
 The Beverly - Vinhomes Grand Park,,Long Thạnh Mỹ, Quận 9,95.00,4.7,3.00,2
 Eco Green Sài Gòn, Nguyễn Văn Linh,Tân Thuận Tây, Quận 7,79.00,4.05,2.00,2
 The Beverly - Vinhomes Grand Park,,Long Thạnh Mỹ, Quận 9,75.00,2.8,2.00,2
Homyland Riverside, Nguyễn Duy Trinh,Bình Trưng Tây, Quận 2,67.00,2.18,2.00,2
 La Astoria, Nguyễn Duy Trinh,Bình Trưng Tây, Quận 2,85.00,1.75,2.00,2
 The Era Town,,Phú Mỹ, Quận 7,92.00,3.5,3.00,2
 Melody Residences 16 Âu Cơ, Âu Cơ,Tân Sơn Nhì, Tân Phú,45.00,1.55,1.00,2
 The Era Town, Nguyễn Lương Bằng,Phú Mỹ, Quận 7,70.00,4.9,2.00,1
 Orchard Garden, Hồng Hà,9, Phú Nhuận,139.00,5.5,3.00,2
 Sky Center, Phổ Quang,2, Tân Bình,68.00,3.4,2.00,2
 Rivera Park Sài Gòn, Thành Thái,14, Quận 10,63.00,1.95,2.00,1
 Sky 9, Liên Phường,Phú Hữu, Quận 9,63.00,1.95,2.00,2
 Sky 9, Liên Phường,Phú Hữu, Quận 9,73.00,2.3,2.00,2
 Q7 Saigon Riverside, Đào Trí,Phú Thuận, Quận 7,85.00,6,3.00,2
 Orchard Garden, Hồng Hà,9, Phú Nhuận,122.00,4.9,3.00,2
 Galaxy 9, Nguyễn Khoái,2, Quận 4,68.00,3.8,2.00,3
 D’Lusso, Nguyễn Thị Định,An Phú, Quận 2,76.00,2.15,2.00,2
Đường 48,48,3, Quận 4,101.00,4.8,3.00,1
 Star Hill,,Tân Phú, Quận 7,68.00,3.9,2.00,2
 D’Lusso, Nguyễn Thị Định,An Phú, Quận 2,50.00,1.65,1.00,2
 Investco Babylon, Âu Cơ,Tân Thành, Tân Phú,148.00,10.2,3.00,1
 The Estella, Xa Lộ Hà Nội,An Phú, Quận 2,74.00,4,2.00,3
 D’Lusso, Nguyễn Thị Định,An Phú, Quận 2,495.00,9,4.00,2
 Sky Garden II, Nguyễn Văn Linh,Tân Phong, Quận 7,57.00,2.35,2.00,3
 Flora Novia, Phạm Văn Đồng,Linh Tây, Thủ Đức,66.00,1.6,2.00,2
 Orchid Park, Nguyễn Lương Bằng, Phú Xuân, Nhà Bè,75.00,2.5,2.00,1
 An Viên, Trần Trọng Cung,Tân Thuận Đông, Quận 7,71.00,2.15,2.00,2
 HaDo Centrosa Garden,,, Quận 10,103.50,5.5,3.00,2
 Scenic Valley 1, Tôn Dật Tiên,Tân Phú, Quận 7,75.00,1.75,2.00,2
 Orchid Park, Nguyễn Lương Bằng, Phú Xuân, Nhà Bè,51.16,1.65,2.00,2
 Dream Home Palace, Trịnh Quang Nghị,7, Quận 8,181.00,19,4.00,3
 Feliz En Vista, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,63.00,1.95,2.00,3
 Sky 9, Liên Phường,Phú Hữu, Quận 9,75.00,1.75,2.00,2
 Orchid Park, Nguyễn Lương Bằng, Phú Xuân, Nhà Bè,51.16,1.65,2.00,2
 Dream Home Palace, Trịnh Quang Nghị,7, Quận 8,181.00,19,4.00,3
 Feliz En Vista, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,142.00,10.5,2.00,3
 Feliz En Vista, Đồng Văn Cống,Thạnh Mỹ Lợi, Quận 2,118.00,10.5,2.00,2
 Feliz En Vista, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,56.00,1.4,2.00,2
 Dream Home Riverside, Nguyễn Văn Linh,7, Quận 8,70.00,2.6,2.00,2
 Bàu Cát II, Hồng Lạc,10, Tân Bình,50.00,1.85,2.00,2
 The Western Capital, Lý Chiêu Hoàng,10, Quận 6,65.00,1.9,2.00,1
 Topaz Garden, Trịnh Đình Thảo,Hòa Thạnh, Tân Phú,72.00,2.6,2.00,2
 Melody Residences 16 Âu Cơ, Âu Cơ,Tân Sơn Nhì, Tân Phú,60.00,9,1.00,2
 Zeit River Thủ Thiêm ,,Thủ Thiêm, Quận 2,50.00,2.4,1.00,1
 Carillon 7, Lương Minh Nguyệt,Tân Thới Hòa, Tân Phú,122.00,7.2,3.00,1
Saigon Pearl, Nguyễn Hữu Cảnh,22, Bình Thạnh,71.00,2.7,2.00,2
 Carillon 7, Lương Minh Nguyệt,Tân Thới Hòa, Tân Phú,75.00,3.5,2.00,2
 Hà Đô Nguyễn Văn Công, Nguyễn Văn Công,3, Gò Vấp,50.00,1.698,1.00,2
 EhomeS Nam Sài Gòn,,, Bình Chánh,50.00,1.698,1.00,1
 EhomeS Nam Sài Gòn, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,50.00,1.698,1.00,1
 EhomeS Nam Sài Gòn,,, Bình Chánh,70.00,3.95,2.00,1
 Masteri Thảo Điền, Xa Lộ Hà Nội,Thảo Điền, Quận 2,70.00,3.95,2.00,
 Masteri Thảo Điền, Xa Lộ Hà Nội,Thảo Điền, Quận 2,50.00,1.698,1.00,
 EhomeS Nam Sài Gòn, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,50.00,1.698,1.00,1
 EhomeS Nam Sài Gòn,,, Bình Chánh,70.00,3.95,2.00,1
 Masteri Thảo Điền, Xa Lộ Hà Nội,Thảo Điền, Quận 2,50.00,1.698,1.00,
 EhomeS Nam Sài Gòn, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,56.00,2.39,2.00,1
 Mizuki Park, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,70.00,3.99,2.00,1
 Masteri Thảo Điền, Xa Lộ Hà Nội,Thảo Điền, Quận 2,70.00,3.8,2.00,
 Masteri Thảo Điền, Xa Lộ Hà Nội,Thảo Điền, Quận 2,30.00,2,1.00,2
 Masteri Millennium, Bến Vân Đồn,6, Quận 4,98.00,4.78,2.00,1
 River Gate, Bến Vân Đồn,6, Quận 4,112.00,5.7,4.00,2
 Tropic Garden,66,Thảo Điền, Quận 2,93.00,3.3,2.00,2
 The Morning Star Plaza, Quốc Lộ 13,26, Bình Thạnh,86.60,4.55,2.00,2
 Mizuki Park, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,70.00,3.85,2.00,2
 Masteri Thảo Điền,,, Quận 2,62.00,1.8,2.00,2
 Dream Home Palace, Trịnh Quang Nghị,7, Quận 8,77.00,3.15,2.00,2
 Him Lam Riverside, D1,Tân Hưng, Quận 7,82.00,2.15,3.00,2
 Chung cư Cửu Long,,, Quận Bình Thạnh,65.00,2.4,2.00,3
 RichStar, Hòa Bình,Hiệp Tân, Tân Phú,104.00,6.8,2.00,2
 The Estella, Xa Lộ Hà Nội,An Phú, Quận 2,106.00,4.2,3.00,2
 The Morning Star Plaza, Quốc Lộ 13,26, Bình Thạnh,104.00,6.8,2.00,2
 The Estella, Xa Lộ Hà Nội,An Phú, Quận 2,106.00,4.2,3.00,2
 The Morning Star Plaza, Quốc Lộ 13,26, Bình Thạnh,89.00,6.8,2.00,2
 Estella Heights, Song Hành,An Phú, Quận 2,150.00,15.5,3.00,2
 Estella Heights, Song Hành,An Phú, Quận 2,50.60,1.7,2.00,3
Đường Tống Văn Trân, Tống Văn Trân,5, Quận 11,73.00,7.2,2.00,1
Masteri Lumiere Riverside, Xa Lộ Hà Nội,An Phú, Quận 2,71.00,3.22,2.00,2
 Masteri Lumiere Riverside, Xa Lộ Hà Nội,An Phú, Quận 2,54.00,2.5,2.00,
Green Field, Xô Viết Nghệ Tĩnh,25, Bình Thạnh,83.00,1.86,3.00,1
 An Gia Garden,,, Quận Tân Phú,86.00,3.05,3.00,2
 Golden Mansion,,, Quận Phú Nhuận,74.00,3.7,2.00,3
 Sky Center, Phổ Quang,2, Tân Bình,93.00,8.93,3.00,
De La Sol, Tôn Thất Thuyết,1, Quận 4,72.00,1.59,2.00,2
 Conic Đông Nam Á, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,49.00,1.7,2.00,2
 PiCity High Park, Thạnh Xuân 13,Thạnh Xuân, Quận 12,86.00,2.05,3.00,
 Hiệp Thành Building, Lê Văn Khương,Hiệp Thành, Quận 12,81.00,5.95,2.00,2
 Saigon Royal Residence, Bến Vân Đồn,12, Quận 4,78.00,3.25,2.00,2
The Krista, Nguyễn Duy Trinh,Bình Trưng Đông, Quận 2,92.00,4.2,3.00,2
 The Krista, Nguyễn Duy Trinh,Bình Trưng Đông, Quận 2,94.00,3,2.00,2
 The Hyco4 Tower,,26, Bình Thạnh,92.00,4.2,3.00,2
 The Krista, Nguyễn Duy Trinh,Bình Trưng Đông, Quận 2,94.00,3,2.00,2
 The Hyco4 Tower,,26, Bình Thạnh,122.00,4.7,3.00,2
 The Hyco4 Tower,,26, Bình Thạnh,74.00,2.7,2.00,2
 Oriental Plaza, Âu Cơ,Tân Thành, Tân Phú,70.00,2.8,2.00,2
 Sunrise Riverside, Nguyễn Hữu Thọ, Phước Kiển, Nhà Bè,68.00,3.35,2.00,2
 The Gold View, Bến Vân Đồn,1, Quận 4,75.00,1.85,2.00,1
 Eco Green Sài Gòn,,, Quận 7,90.00,5.3,2.00,2
Saigon Pearl, Nguyễn Hữu Cảnh,22, Bình Thạnh,68.00,2.45,2.00,2
 The Western Capital, Lý Chiêu Hoàng,10, Quận 6,57.00,1.8,2.00,2
 KCN Tân Bình, Tây Thạnh,Tây Thạnh, Tân Phú,69.00,4.35,2.00,1
 Botanica Premier, Hồng Hà,2, Tân Bình,53.00,1.7,1.00,2
 Q7 Saigon Riverside, Đào Trí,Phú Thuận, Quận 7,90.00,5.5,2.00,1
 Vista Verde, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,89.00,2.9,3.00,2
La Astoria, Nguyễn Duy Trinh,Bình Trưng Tây, Quận 2,53.20,1.7,1.00,3
 Q7 Saigon Riverside, Đào Trí,Phú Thuận, Quận 7,77.00,3.4,2.00,1
 Riva Park, Nguyễn Tất Thành,18, Quận 4,65.00,2.2,2.00,2
 8X Plus Trường Chinh, Trường Chinh,Tân Thới Nhất, Quận 12,83.00,4.95,2.00,2
 Kingston Residence, Nguyễn Văn Trỗi,8, Phú Nhuận,65.00,3.5,2.00,2
 The Tresor, Bến Vân Đồn,12, Quận 4,75.00,2.8,2.00,2
 Homyland 3, Nguyễn Duy Trinh,Bình Trưng Tây, Quận 2,201.00,11.79,4.00,2
Celadon City, Bờ Bao Tân Thắng,Sơn Kỳ, Tân Phú,77.00,3.2,2.00,1
 Lucky Palace, Phan Văn Khỏe,2, Quận 6,51.00,1.4,2.00,2
 Angia Star, Quốc lộ 1A,Tân Tạo, Bình Tân,68.00,1.72,2.00,1
 Angia Star, Quốc lộ 1A,Tân Tạo, Bình Tân,74.00,3.7,2.00,2
 Rivera Park Sài Gòn, Thành Thái,14, Quận 10,75.00,3.4,2.00,
 Cantavil An Phú, Xa Lộ Hà Nội,An Phú, Quận 2,48.00,1.3,2.00,1
 Angia Star, Quốc lộ 1A,Tân Tạo, Bình Tân,75.00,3.4,2.00,1
 Cantavil An Phú, Xa Lộ Hà Nội,An Phú, Quận 2,86.00,2.44,2.00,1
 Sky Center,,, Quận Tân Bình,71.00,1.54,2.00,2
 Opal Riverside,,Hiệp Bình Chánh, Thủ Đức,210.00,13,3.00,2
 Kingdom 101, Tô Hiến Thành,14, Quận 10,48.50,2,1.00,2
Lexington Residence, Mai Chí Thọ,An Phú, Quận 2,75.00,2.9,2.00,1
 Lavita Charm, Số 1,Trường Thọ, Thủ Đức,71.00,3,2.00,2
 Lexington Residence, Mai Chí Thọ,An Phú, Quận 2,65.00,2.1,2.00,2
 An Lộc, Nguyễn Oanh,17, Gò Vấp,78.00,1.47,2.00,1
 Căn hộ Ricca Quận 9, Gò Cát,Phú Hữu, Quận 9,65.00,2,2.00,2
 An Lộc, Nguyễn Oanh,17, Gò Vấp,104.50,2.35,3.00,1
 Green Town Bình Tân,,Bình Hưng Hòa B, Bình Tân,67.30,2.9,2.00,2
 Lavita Charm,1,Trường Thọ, Thủ Đức,95.00,4.75,3.00,2
 Eco Green Sài Gòn, Nguyễn Văn Linh,Tân Thuận Tây, Quận 7,115.00,3.65,2.00,2
 Chánh Hưng Giai Việt,,5, Quận 8,69.00,2.65,2.00,2
 Plaza Nguyên Hồng, Nguyên Hồng,1, Gò Vấp,107.00,8.5,3.00,2
 Urban Hill, Nguyễn Văn Linh,Tân Phong, Quận 7,57.00,1.55,2.00,2
Đường S11, S11,Tây Thạnh, Tân Phú,75.00,1.64,2.00,1
 The Everrich Infinity, An Dương Vương,4, Quận 5,30.00,1.63,1.00,2
 C.T Plaza Minh Châu,,, Quận 3,50.00,2.55,1.00,1
 Asiana Capella, Trần Văn Kiểu,10, Quận 6,132.00,7.3,3.00,1
 Thảo Điền Pearl, Quốc Hương,Thảo Điền, Quận 2,132.00,7,2.00,
 Thảo Điền Pearl, Quốc Hương,Thảo Điền, Quận 2,66.00,2.6,2.00,
 Moonlight Park View, Số 7,An Lạc A, Bình Tân,88.00,1.57,2.00,
 Belleza Apartment, Phạm Hữu Lầu,Phú Mỹ, Quận 7,78.00,4.15,2.00,2
 Rivera Park Sài Gòn, Thành Thái,14, Quận 10,70.00,1.63,2.00,2
 Xi Grand Court,,14, Quận 10,63.00,3.6,2.00,2
 Rivera Park Sài Gòn, Thành Thái,14, Quận 10,65.00,4.5,2.00,2
 Viva Riverside, Võ Văn Kiệt,3, Quận 6,65.00,2.6,2.00,2
 Green Field, Xô Viết Nghệ Tĩnh,25, Bình Thạnh,80.00,4.15,2.00,1
 The Gold View, Bến Vân Đồn,1, Quận 4,65.00,2.6,2.00,2
 Green Field, Xô Viết Nghệ Tĩnh,25, Bình Thạnh,80.00,4.15,2.00,1
 The Gold View, Bến Vân Đồn,1, Quận 4,121.00,4.8,3.00,2
 The Hyco4 Tower,,26, Bình Thạnh,63.00,2,2.00,
 Topaz Garden, Trịnh Đình Thảo,Hòa Thạnh, Tân Phú,92.00,4.8,2.00,2
 The Gold View, Bến Vân Đồn,1, Quận 4,58.00,2.1,2.00,2
 Prosper Phố Đông, Tô Ngọc Vân,Tam Bình, Thủ Đức,72.00,2.8,2.00,2
 Saigonres Plaza,,26, Bình Thạnh,120.00,8.1,3.00,2
 Vinhomes Central Park, Điện Biên Phủ,22, Bình Thạnh,76.00,2.6,2.00,2
Saigonres Plaza,,26, Bình Thạnh,62.00,2.6,2.00,2
 Chung cư 1050 Chu Văn An, Phan Chu Trinh,12, Bình Thạnh,62.00,1.52,2.00,
 River Panorama, Hoàng Quốc Việt,Phú Thuận, Quận 7,69.00,1.54,2.00,2
 Saigonres Plaza,,26, Bình Thạnh,69.00,2.18,2.00,
 Vinhomes Grand Park,,Long Thạnh Mỹ, Quận 9,201.00,35,4.00,2
 Zeit River Thủ Thiêm ,,Thủ Thiêm, Quận 2,82.00,3.85,2.00,3
167,,"10, Quận 3", T,163.00,55,4.00,2
 The Metropole,,An Khánh, Quận 2,80.00,5.1,2.00,4
 Vinhomes Central Park, Điện Biên Phủ,22, Bình Thạnh,81.00,3.5,2.00,2
 Riva Park, Nguyễn Tất Thành,18, Quận 4,67.00,1.57,2.00,2
 Tân Mai, Quốc lộ 1A,Tân Tạo, Bình Tân,80.00,5.1,2.00,1
 Vinhomes Central Park, Điện Biên Phủ,22, Bình Thạnh,81.00,3.5,2.00,2
 Riva Park, Nguyễn Tất Thành,18, Quận 4,67.00,1.57,2.00,2
 Tân Mai, Quốc lộ 1A,Tân Tạo, Bình Tân,70.00,4.2,2.00,1
M-One Gia Định, Nguyễn Bỉnh Khiêm,1, Gò Vấp,147.00,7.9,3.00,2
 The EverRich I, 3/2,15, Quận 11,56.00,1.9,1.00,3
D-Vela, Huỳnh Tấn Phát,Phú Thuận, Quận 7,90.00,2.7,2.00,1
 Orchard Garden,,, Quận Phú Nhuận,80.00,6.7,2.00,2
The Everrich Infinity, An Dương Vương,4, Quận 5,58.00,2.05,2.00,2
 PiCity High Park, Thạnh Xuân 13,Thạnh Xuân, Quận 12,79.00,4.7,2.00,1
 Vinhomes Central Park, Điện Biên Phủ,22, Bình Thạnh,107.00,9.6,3.00,2
 Feliz En Vista, Đồng Văn Cống,Thạnh Mỹ Lợi, Quận 2,181.00,20.9,4.00,2
 Sunrise City, Nguyễn Hữu Thọ,Tân Hưng, Quận 7,178.00,27,3.00,3
 City Garden, Ngô Tất Tố,21, Bình Thạnh,50.00,2.2,1.00,3
 Thủ Thiêm Green House, Võ Chí Công,Thạnh Mỹ Lợi, Quận 2,65.60,1.95,2.00,1
 Lovera Vista, Trịnh Quang Nghị, Phong Phú, Bình Chánh,72.00,3.1,2.00,2
 Sky 89, Hoàng Quốc Việt,"Phú Thuận, Quận 7",,75.00,1.64,2.00,2
 Masteri Millennium, Bến Vân Đồn,6, Quận 4,66.00,1.9,2.00,2
 Lovera Vista, Trịnh Quang Nghị, Phong Phú, Bình Chánh,75.00,1.64,2.00,2
 Masteri Millennium, Bến Vân Đồn,6, Quận 4,66.00,1.9,2.00,2
 Lovera Vista, Trịnh Quang Nghị, Phong Phú, Bình Chánh,26.00,1.85,2.00,2
 River Gate, Bến Vân Đồn,6, Quận 4,73.00,5,2.00,2
 Kingston Residence, Nguyễn Văn Trỗi,8, Phú Nhuận,71.00,2.9,2.00,2
 Lexington Residence, Mai Chí Thọ,An Phú, Quận 2,75.00,4.6,2.00,1
 The Tresor, Bến Vân Đồn,12, Quận 4,212.00,19,4.00,2
 Vista Verde, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,81.00,3.3,2.00,3
 Screc Tower, Trường Sa,12, Quận 3,82.00,2.42,2.00,2
 The Prince Residence,,, Quận Phú Nhuận,103.00,8.3,3.00,2
 Kingdom 101, Tô Hiến Thành,14, Quận 10,88.00,4.7,2.00,2
 Satra Eximland,,, Phú Nhuận,67.82,5.24,1.00,2
 De La Sol, Tôn Thất Thuyết,1, Quận 4,101.00,8.95,3.00,2
D’Lusso, Nguyễn Thị Định,An Phú, Quận 2,70.00,2.5,2.00,3
Melody Residences 16 Âu Cơ, Âu Cơ,Tân Sơn Nhì, Tân Phú,85.00,2.85,3.00,2
 La Astoria, Nguyễn Duy Trinh,Bình Trưng Tây, Quận 2,73.00,5.15,2.00,3
 Kingdom 101, Tô Hiến Thành,14, Quận 10,53.00,1.4,1.00,2
 I-Home 1, Phạm Văn Chiêu,14, Gò Vấp,72.00,2.9,3.00,1
 Mizuki Park, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,53.00,2.25,1.00,
RichStar, Hòa Bình,Hiệp Tân, Tân Phú,126.00,12.4,3.00,
Sunwah Pearl, Nguyễn Hữu Cảnh,22, Bình Thạnh,53.00,2.25,1.00,2
RichStar, Hòa Bình,Hiệp Tân, Tân Phú,126.00,12.4,3.00,
Sunwah Pearl, Nguyễn Hữu Cảnh,22, Bình Thạnh,74.00,2.6,2.00,2
 Carillon 2, Trịnh Đình Thảo,Hòa Thạnh, Tân Phú,51.23,8,1.00,2
 The Marq, Nguyễn Đình Chiểu,Đa Kao, Quận 1,260.00,14.5,3.00,1
Saigon Pearl, Nguyễn Hữu Cảnh,22, Bình Thạnh,70.00,3.2,2.00,2
 Hà Đô Nguyễn Văn Công, Nguyễn Văn Công,3, Gò Vấp,68.00,4,2.00,2
 Wilton Tower, Nguyễn Văn Thương,25, Bình Thạnh,60.00,5.2,1.00,2
 HaDo Centrosa Garden, 3/2,12, Quận 10,96.00,2.4,2.00,1
Hoàng Anh An Tiến - Gold House, Lê Văn Lương, Phước Kiển, Nhà Bè,83.00,8,3.00,2
 Terra Royal, Lý Chính Thắng,Võ Thị Sáu, Quận 3,78.00,3.5,2.00,2
 CityLand Park Hills, Phan Văn Trị,10, Gò Vấp,75.00,2.45,2.00,2
 Kingston Residence,,, Quận Phú Nhuận,68.00,4,2.00,2
 Vinhomes Grand Park,,Long Thạnh Mỹ, Quận 9,55.00,1.75,1.00,2
Flora Anh Đào, Đỗ Xuân Hợp,Phước Long B, Quận 9,72.00,2.7,2.00,1
 Carillon 5, Lũy Bán Bích,Hòa Thạnh, Tân Phú,55.00,1.85,1.00,2
 Fuji Residence, Đỗ Xuân Hợp,Phước Long B, Quận 9,98.00,3.65,3.00,1
 An Gia Riverside, Đào Trí,Phú Thuận, Quận 7,97.00,3.4,2.00,
 Him Lam Chợ Lớn,,, Quận 6,68.00,2.55,2.00,2
 Fuji Residence, Đỗ Xuân Hợp,Phước Long B, Quận 9,97.00,4.5,2.00,2
 The Flemington, Lê Đại Hành,15, Quận 11,170.00,35,4.00,2
 The Metropole,,"An Khánh, Quận 2",,110.38,13.7,2.00,4
 Sunwah Pearl, Nguyễn Hữu Cảnh,22, Bình Thạnh,66.00,2.2,2.00,2
The Art Gia Hòa, Đỗ Xuân Hợp,Phước Long B, Quận 9,88.09,14.09,2.00,2
 Zeit River Thủ Thiêm , Trần Bạch Đằng,An Khánh, Quận 2,69.00,2.9,2.00,2
 Jamila Khang Điền, Song Hành,Phú Hữu, Quận 9,68.00,2.6,2.00,2
The Art Gia Hòa, Đỗ Xuân Hợp,Phước Long B, Quận 9,118.00,5.5,3.00,2
 Mỹ Đức, Nguyễn Đức Cảnh,Tân Phong, Quận 7,76.00,3.5,2.00,2
 CityLand Park Hills, Phan Văn Trị,10, Gò Vấp,118.00,4.5,3.00,2
 Green View, Nguyễn Lương Bằng,Tân Phú, Quận 7,106.00,4.3,3.00,2
 Park View, Nguyễn Đức Cảnh,Tân Phú, Quận 7,57.00,2.35,2.00,2
 Flora Novia, Phạm Văn Đồng,Linh Tây, Thủ Đức,68.00,5.2,2.00,
 Wilton Tower,,25, Bình Thạnh,107.00,8.3,3.00,2
 Feliz En Vista, Đồng Văn Cống,Thạnh Mỹ Lợi, Quận 2,85.00,6.8,2.00,2
 Feliz En Vista, Đồng Văn Cống,Thạnh Mỹ Lợi, Quận 2,72.42,5.05,2.00,2
 Kingdom 101, Tô Hiến Thành,14, Quận 10,55.00,5.2,2.00,2
Sky 9,,, Quận 9,113.00,9.5,3.00,1
 Sadora Apartment, Mai Chí Thọ,, Quận 2,50.00,1.4,1.00,2
 I-Home 1, Phạm Văn Chiêu,14, Gò Vấp,76.00,3.5,2.00,1
 CityLand Park Hills, Phan Văn Trị,10, Gò Vấp,118.00,4.5,3.00,2
 Green View, Nguyễn Lương Bằng,Tân Phú, Quận 7,106.00,4.3,3.00,2
 Park View, Nguyễn Đức Cảnh,Tân Phú, Quận 7,57.00,2.35,2.00,2
 Flora Novia, Phạm Văn Đồng,Linh Tây, Thủ Đức,68.00,5.2,2.00,
 Wilton Tower,,25, Bình Thạnh,107.00,8.3,3.00,2
 Feliz En Vista, Đồng Văn Cống,Thạnh Mỹ Lợi, Quận 2,85.00,6.8,2.00,2
 Feliz En Vista, Đồng Văn Cống,Thạnh Mỹ Lợi, Quận 2,72.42,5.05,2.00,2
 Kingdom 101, Tô Hiến Thành,14, Quận 10,55.00,5.2,2.00,2
Sky 9,,, Quận 9,113.00,9.5,3.00,1
 Sadora Apartment, Mai Chí Thọ,, Quận 2,50.00,1.4,1.00,2
 I-Home 1, Phạm Văn Chiêu,14, Gò Vấp,50.00,2,1.00,1
Carillon 2, Trịnh Đình Thảo,Hòa Thạnh, Tân Phú,212.00,17.5,4.00,
 Vista Verde, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,78.00,2.7,2.00,3
 Oriental Plaza, Âu Cơ,Tân Thành, Tân Phú,204.00,25.9,4.00,2
 Vista Verde, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,88.00,4.1,2.00,3
Satra Eximland,,1, Phú Nhuận,120.00,13.5,3.00,2
 The Metropole,,An Khánh, Quận 2,105.00,3.5,3.00,2
 Oriental Plaza, Âu Cơ,Tân Thành, Tân Phú,50.00,6.3,1.00,2
 The Metropole,,An Khánh, Quận 2,76.00,3.5,2.00,1
 CityLand Park Hills, Phan Văn Trị,10, Gò Vấp,118.00,4.5,3.00,2
 Green View, Nguyễn Lương Bằng,Tân Phú, Quận 7,106.00,4.3,3.00,2
