Tên chung cư,Đường/Phố,Xã/Phường/Thị Trấn,Quận/Huyện,Diện tích,Mức giá,Số phòng ngủ,Số toilet
 Akari City Nam Long, Võ Văn Kiệt,An Lạc, Bình Tân,79.00,2.99,2.00,1
 Akari City Nam Long, Võ Văn Kiệt,An Lạc, Bình Tân,88.50,3.2,3.00,2
 The Western Capital,,, Quận 6,40.00,1.03,1.00,2
 Thái An Apartment, Nguyễn Văn Quá,Đông Hưng Thuận, Quận 12,82.80,2.8,3.00,1
 Akari City Nam Long, Võ Văn Kiệt,An Lạc, Bình Tân,53.00,3.13,2.00,2
 Avatar Thủ Đức, Số 1,Trường Thọ, Thủ Đức,68.00,1.95,2.00,2
 Aurora Residences, Bến Bình Đông,14, Quận 8,105.00,8.1,2.00,2
 HaDo Centrosa Garden, 3/2,12, Quận 10,106.00,7.5,3.00,2
 Feliz En Vista, Đồng Văn Cống,Thạnh Mỹ Lợi, Quận 2,56.00,2.37,2.00,2
 Akari City Nam Long, Võ Văn Kiệt,An Lạc, Bình Tân,43.00,1.3,1.00,1
 The Western Capital, Lý Chiêu Hoàng,10, Quận 6,100.00,11,3.00,1
 Q2 Thảo Điền, Xa Lộ Hà Nội,Thảo Điền, Quận 2,55.00,1.43,2.00,2
 Sài Gòn Intela, Nguyễn Văn Linh, Phong Phú, Bình Chánh,70.00,1.9,2.00,2
Topaz Garden, Trịnh Đình Thảo,Hòa Thạnh, Tân Phú,72.00,2.7,2.00,2
 Mizuki Park, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,89.00,6.9,2.00,2
 HaDo Centrosa Garden, 3/2,12, Quận 10,73.00,2.3,2.00,2
Diamond Riverside, Võ Văn Kiệt,16, Quận 8,49.00,3.39,1.00,2
 Masteri Thảo Điền, Xa Lộ Hà Nội,Thảo Điền, Quận 2,70.00,2.8,2.00,1
 Sunrise Riverside, Nguyễn Hữu Thọ, Phước Kiển, Nhà Bè,91.00,4.2,2.00,2
 Midtown Phú Mỹ Hưng,,Tân Phú, Quận 7,62.00,2.3,2.00,2
 River Panorama, Hoàng Quốc Việt,Phú Thuận, Quận 7,81.00,5.4,2.00,2
 The Everrich Infinity, An Dương Vương,4, Quận 5,240.00,14,4.00,2
 Riverside Residence, Nguyễn Lương Bằng,Tân Phú, Quận 7,65.00,3.1,2.00,3
 Happy One Premier Thạnh Lộc, Hà Huy Giáp,Thạnh Lộc, Quận 12,60.00,3.1,2.00,2
 Akari City Nam Long, Võ Văn Kiệt,An Lạc, Bình Tân,240.00,14,4.00,2
 Riverside Residence, Nguyễn Lương Bằng,Tân Phú, Quận 7,105.00,8.5,3.00,3
The Prince Residence, Nguyễn Văn Trỗi,12, Phú Nhuận,71.00,2.6,2.00,2
Carillon 7, Lương Minh Nguyệt,Tân Thới Hòa, Tân Phú,34.00,2,1.00,2
Elysian, Lò Lu,Trường Thạnh, Quận 9,73.00,5.15,2.00,1
 Kingdom 101, Tô Hiến Thành,14, Quận 10,55.00,2.55,1.00,2
 D’Lusso, Nguyễn Thị Định,An Phú, Quận 2,66.00,1.86,2.00,1
 Lovera Vista, Trịnh Quang Nghị, Phong Phú, Bình Chánh,56.00,2.3,2.00,2
 Flora Novia, Phạm Văn Đồng,Linh Tây, Thủ Đức,70.00,2.88,2.00,1
 Sunrise Riverside, Nguyễn Hữu Thọ, Phước Kiển, Nhà Bè,120.00,6.9,3.00,2
 Midtown Phú Mỹ Hưng,,Tân Phú, Quận 7,30.00,1.36,1.00,2
595, Cách Mạng Tháng Tám,15, Quận 10,120.00,5.95,3.00,1
Horizon, Trần Quang Khải,Tân Định, Quận 1,49.00,1.86,2.00,2
 PiCity High Park, Thạnh Xuân 13,Thạnh Xuân, Quận 12,70.00,2.8,2.00,1
 Sunrise Riverside, Nguyễn Hữu Thọ, Phước Kiển, Nhà Bè,71.00,3.22,2.00,2
 Celadon City, N1,Sơn Kỳ, Tân Phú,83.00,5.2,2.00,1
 Diamond Island,,Bình Trưng Tây, Quận 2,678.00,90,5.00,2
 Diamond Island,,Bình Trưng Tây, Quận 2,115.00,3.6,2.00,6
 Chánh Hưng Giai Việt,,5, Quận 8,138.00,5.1,3.00,2
 Central Garden, Bến Chương Dương,Cô Giang, Quận 1,68.00,2.2,2.00,2
 Căn hộ Terra Mia, Phạm Hùng, Bình Hưng, Bình Chánh,72.00,4,2.00,2
 Lumiere Boulevard, Nguyễn Xiển,Long Bình, Quận 9,64.00,7,1.00,2
